Proxy,Protocol,Country,Country Code,Flag,Fraud Score,Risk,VPN,ISP,Latency (ms)
202.61.105.181:443,HTTPS,Indonesia,ID,🇮🇩,0,low,No,PT.Indonesia Comnets Plus,4271
202.61.105.82:443,HTTPS,Indonesia,ID,🇮🇩,0,low,No,PT.Indonesia Comnets Plus,4021
103.24.13.33:443,HTTPS,Indonesia,ID,🇮🇩,0,low,No,PT. Cyberindo Mega Persada,3041
31.56.30.50:443,HTTPS,Indonesia,ID,🇮🇩,0,low,Yes,PT Atharva Telematika Persada,3348
31.56.30.50:9443,HTTPS,Indonesia,ID,🇮🇩,0,low,Yes,PT Atharva Telematika Persada,3678
103.87.68.50:9443,HTTPS,Indonesia,ID,🇮🇩,0,low,Yes,PT Atharva Telematika Persada,3231
103.235.67.190:443,HTTPS,Indonesia,ID,🇮🇩,0,low,No,PT Artha Media Lintas Nusa,3808
116.254.118.180:443,HTTPS,Indonesia,ID,🇮🇩,0,low,No,PT Media Sarana Data,6840
2.27.116.2:9443,HTTPS,Indonesia,ID,🇮🇩,0,low,Yes,PT Atharva Telematika Persada,4707
2.27.116.2:443,HTTPS,Indonesia,ID,🇮🇩,0,low,Yes,PT Atharva Telematika Persada,6244
103.87.68.146:9443,HTTPS,Indonesia,ID,🇮🇩,0,low,Yes,PT Atharva Telematika Persada,4556
129.227.44.190:443,HTTPS,Indonesia,ID,🇮🇩,25,medium,Yes,ZEN,3569
