Proxy,Protocol,Country,Country Code,Flag,Fraud Score,Risk,VPN,ISP,Latency (ms),Iran Reachable,Iran Latency (ms),Iran Nodes OK
82.196.220.217:443,HTTP_TLS,Norway,NO,🇳🇴,0,low,No,BROADNET,6673,Not Checked,,
82.196.220.217:443,HTTP_TLS,Norway,NO,🇳🇴,0,low,No,BROADNET,7940,Not Checked,,
79.127.150.97:9443,HTTP_TLS,Norway,NO,🇳🇴,39,medium,Yes,Datacamp Limited,6352,Not Checked,,
146.70.219.226:9443,HTTP_TLS,Norway,NO,🇳🇴,39,medium,Yes,M247 Europe Infra,2283,Not Checked,,
146.70.219.226:443,HTTP_TLS,Norway,NO,🇳🇴,39,medium,Yes,M247 Europe Infra,2741,Not Checked,,
146.70.219.226:9443,HTTP_TLS,Norway,NO,🇳🇴,39,medium,Yes,M247 Europe Infra,3284,Not Checked,,
146.70.219.226:443,HTTP_TLS,Norway,NO,🇳🇴,39,medium,Yes,M247 Europe Infra,3163,Not Checked,,
82.102.22.178:9443,HTTP_TLS,Norway,NO,🇳🇴,73,high,Yes,M247 Europe SRL,4526,Not Checked,,
82.102.22.178:9443,HTTP_TLS,Norway,NO,🇳🇴,73,high,Yes,M247 Europe SRL,6114,Not Checked,,
130.195.211.18:9443,HTTP_TLS,Norway,NO,🇳🇴,73,high,Yes,M247 Europe SRL,5833,Not Checked,,
146.70.170.210:9443,HTTP_TLS,Norway,NO,🇳🇴,73,high,Yes,M247 Europe SRL,2059,Not Checked,,
