Proxy,Protocol,Country,Country Code,Flag,Fraud Score,Risk,VPN,ISP,Latency (ms),Iran Reachable,Iran Latency (ms),Iran Nodes OK
150.95.26.146:7081,HTTP_TLS,Thailand,TH,🇹🇭,0,low,No,GMO-Z.COM PTE. LTD.,4973,Not Checked,,
150.95.26.146:7081,HTTP_TLS,Thailand,TH,🇹🇭,0,low,No,GMO-Z.COM PTE. LTD.,5154,Not Checked,,
103.58.150.11:443,HTTP_TLS,Thailand,TH,🇹🇭,0,low,Yes,"Dot Enterprise Co., Ltd.",2985,Not Checked,,
103.58.150.11:9443,HTTP_TLS,Thailand,TH,🇹🇭,0,low,Yes,"Dot Enterprise Co., Ltd.",2953,Not Checked,,
103.58.150.11:443,HTTP_TLS,Thailand,TH,🇹🇭,0,low,Yes,"Dot Enterprise Co., Ltd.",2874,Not Checked,,
103.58.150.11:9443,HTTP_TLS,Thailand,TH,🇹🇭,0,low,Yes,"Dot Enterprise Co., Ltd.",2905,Not Checked,,
103.22.182.254:9443,HTTP_TLS,Thailand,TH,🇹🇭,0,low,Yes,Readyidc Company Limited,3589,Not Checked,,
103.22.182.254:9443,HTTP_TLS,Thailand,TH,🇹🇭,0,low,Yes,Readyidc Company Limited,3422,Not Checked,,
103.40.138.14:443,HTTP_TLS,Thailand,TH,🇹🇭,2,low,No,"United Information Highway Co., Ltd.",4497,Not Checked,,
103.40.138.14:443,HTTP_TLS,Thailand,TH,🇹🇭,2,low,No,"United Information Highway Co., Ltd.",4727,Not Checked,,
