Proxy,Protocol,Country,Country Code,Flag,Fraud Score,Risk,VPN,ISP,Latency (ms),Iran Reachable,Iran Latency (ms),Iran Nodes OK
103.58.150.11:443,HTTP_TLS,Thailand,TH,🇹🇭,0,low,Yes,"Dot Enterprise Co., Ltd.",3175,Not Checked,,
103.58.150.11:9443,HTTP_TLS,Thailand,TH,🇹🇭,0,low,Yes,"Dot Enterprise Co., Ltd.",3674,Not Checked,,
103.58.150.11:443,HTTP_TLS,Thailand,TH,🇹🇭,0,low,Yes,"Dot Enterprise Co., Ltd.",3039,Not Checked,,
103.58.150.11:9443,HTTP_TLS,Thailand,TH,🇹🇭,0,low,Yes,"Dot Enterprise Co., Ltd.",3064,Not Checked,,
103.22.182.254:9443,HTTP_TLS,Thailand,TH,🇹🇭,0,low,Yes,Readyidc Company Limited,4611,Not Checked,,
103.22.182.254:9443,HTTP_TLS,Thailand,TH,🇹🇭,0,low,Yes,Readyidc Company Limited,4357,Not Checked,,
150.95.26.146:7081,HTTP_TLS,Thailand,TH,🇹🇭,0,low,No,GMO-Z.COM PTE. LTD.,4821,Not Checked,,
150.95.26.146:7081,HTTP_TLS,Thailand,TH,🇹🇭,0,low,No,GMO-Z.COM PTE. LTD.,6024,Not Checked,,
103.40.138.14:443,HTTP_TLS,Thailand,TH,🇹🇭,2,low,No,"United Information Highway Co., Ltd.",5449,Not Checked,,
103.40.138.14:443,HTTP_TLS,Thailand,TH,🇹🇭,2,low,No,"United Information Highway Co., Ltd.",4527,Not Checked,,
